video_id,comment_id,parent_comment_id,author,content,likes,created_time,collection_time
ftQZo7XaTOA&t=1231s,AJjuf7cPEpgAJkZM08qcPG,UgyYKatRwOiiGElRSCR4AaABAg,@김우연-b8u,아... 전 2회독인데 아직도 무슨 말인지 모르겠어요...,0,4개월 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgwgnIt7h2NW2FrE_5F4AaABAg,,@dyj5824,쌩문과생입니다. 그런데 박사과정을 IT분야로 와 버려서 당장 파이썬이 필요하게 될 줄은 상상도 못했네요. 5년 전에 혹시 몰라 파이썬을 독해 봤는데 결국 Hello World가 Bye World가 돼 버려 조금은 두렵습니다. 그래도 발등에 불이 떨어졌으니 이번엔 무.조.건 점프 투 파이썬과 함께 차근차근 도장을 깨 보겠습니다!,2,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgymolV6iej1vgz4NuR4AaABAg,,@que_bic,고3 학생입니다. 초등학교 6학년부터 취미로 코딩을 시작했고 내년부터 본격적으로 코딩을 배울 예정입니다. 조코딩님의 영상들을 즐겨 보며 많이 배우고 있습니다. 항상 좋은 퀄리티의 영상 감사드립니다.,7,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,A5WI36ePHVUAA8lusA8QEv,UgymolV6iej1vgz4NuR4AaABAg,@어다-s6b,고3이면… 대학가서 배워도 안늦습니다… 학업에 더 열중하시길…,0,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,A5WI36ePHVUADQz7MCWsAB,UgymolV6iej1vgz4NuR4AaABAg,@meojjidana,​ @어다-s6b  제가 대학가서 코딩을 시작했는데요.. 솔직히 조금 많이 힘들긴 합니다,3,10개월 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgxuIww_4GgIBx2_paB4AaABAg,,@윤zi존-u7v,드디어 꿈이 없던 제가 처음으로 하고싶은 게 생겼습니다 그건 바로 개발자입니다 직업적성검사?같은 걸 했는데 개발자가 나와서 열심히 알아봤습니다 그런데 뭐부터 해야할 지 감이 잡히지 않던 중 인터넷에선 비전공자는 파이썬부터 가볍게 시작하라고 하더군요 그래서 공부해보려합니다 3일전에 노트북에 파이썬을 깔고 유튜브에 올라오는 가벼운 강의를 2시간정도 듣고 해보았습니다 어렵지만 재미있었어요 그래도 유명한 점프투파이썬으로 한 번 공부해보고싶습니다 파이썬 마스터해서 개발자의 길로 한걸음 더 가까워지고 싶습니다 지잡대 예체능 4학년 아무 스펙도 능력도 없고 할 수 있는건 운동뿐인 제가 할 수 있겠죠? 우울한 현실에서 벗어나 사람구실은 하면서 살고 싶습니다! 열심히 하겠습니다 읽어주셔서 감사합니다,6,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,A5WQBAUu9QNAOmyZS6w9AX,UgxuIww_4GgIBx2_paB4AaABAg,@0.39_samgu,@윤zi존-u7v 혹시 어떻게 지내시나요,0,3주 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgxGSKQBinMBe8f-GoB4AaABAg,,@Choigamgak,"지적 허영심을 채우고 싶은데
잘 안 채워지는 파이썬 이녀석이란….ㅠㅠ
저는 책은 필요없습니다. 파이썬을 공부하려는 제 마음이 작심삼일이 아니기를 바랄뿐!!!! 
올해 안에 파이썬 공부 초석을 다지고, 내년 38살 늦은(?) 나이에
빅데이터전공 학사를 따기위해 사이버대를 가려고 합니다. 모든 육아하는 아빠들
자기계발과 직장 업무, 가정 내 화목, 건강 모두 쟁취하는 아빠들 되시길!
조코딩님도 화이팅임돠~",2,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgxRTt1bGgELGXbijjR4AaABAg,,@jiwoopark17,"처음 흥미가 생긴 언어가 파이썬입니다. 
이전에 배워봤었지만 감을 잡지 못해 실패를 한 경험이 있습니다. 그래서 프로그래밍 언어에 대한 벽이 느껴져 어떻게 공부해야 하나 막막했는데, 
이번에 조코딩님 유투브를 알게되면서 잠깐 본 영상이었지만 정말 잘 가르쳐주시는 것을 보고  제대로 처음부터 응용까지 배워보고 싶다 생각하였습니다. 포기하지 않고 끝까지 하여 파이썬을 잘 사용하는 사람이 되고 싶습니다. 화이팅.!!",2,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgyyaRjDFCeEcS3bVDZ4AaABAg,,@KGStar1125,평소에 파이썬을 배운다고 말만 하고 실행으로 옮기지 못했는데 이번을 기회로 점프 투 파이썬과 함께 공부할 수 있을 것 같아요.,6,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgwCOE4v8_H_ZhqwM7N4AaABAg,,@insaneah6714,"데이터를 요리조리 바꾸고 관련지어보고 표현하는게 좋았던 경험에 파이썬을 더 세밀하게 다시 보고 싶어졌습니다. 전공도 관련없고 독학을 해야하고 또 그렇게 하고싶은 제게 이런 시의적절한 기회가 있어 영광일따름입니다. 저같은 사람이 있을까, 제가 보지 못한 곳에서 힘내주시는 분들께 정말 감사드리며 제 말한마디가 그분들께 보람과 기쁨을 선사하길 간절히 바랍니다.
진심으로 감사합니다.",1,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,Ugz9QUvAd07MJh9OWtJ4AaABAg,,@wonsuknet,"안녕하세요!
25년 경력 개발자입니다.
주로 자바로 웹 개발하는 개발자입니다.
파이썬을 만들 사람처럼 저도 자바 언어 다음 언어로 파이썬을 생각하고 있었는데
이렇게 통합본을 올려주셔서 너무 감사합니다.
항상 열정적으로 IT 영상을 제작하고
매주 주말에 AI 뉴스까지 빠지지 않고 올려주셔서 
항상 감사히 보고 있어요!

NEXT 개발 언어로 파이썬을 공부해 보려 합니다!

항상 응원합니다!~~",28,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,A5WEjqU0LoOAINxzydKnlP,Ugz9QUvAd07MJh9OWtJ4AaABAg,@goodman4321,"25년 경력이신데도 파이썬을 따로 학습을 하셔야 하는건가요?
독학으로 책한권 슥~ 보고 하실수 있는것 아닌가 생각이 들어서요.
정말 궁금해서 질문을 드려 봅니다",1,5개월 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,A5WEjqU0LoOALTgoazYvOI,Ugz9QUvAd07MJh9OWtJ4AaABAg,@asdasdasdasd-p7c,@goodman4321  독학 수준도 아닐거에요 그냥 보면 바로 이해가는 수준일껄요... 기초를 볼 필요가없을듯,0,3개월 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgzpyzeG-sIlRttgMz54AaABAg,,@leearina8287,7년 전에 파이썬 공부했었는데 다 까먹었어요 ㅠ 눈이 침침해지는 요즘 그래도 점프 투 파이썬과 다시 시작해보렵니다~ 잘 부탁드려요!,4,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,Ugzpmh8LuKLGlT3QKO14AaABAg,,@장승현-n6b,50대 중후반인데 조코딩님이 이해하기 쉽게 설명을 잘해주셔서 잘 따라가고 있습니다. '점프 투 파이썬' 전자책도 구입했고 열심히 배우고 있습니다. 복 받으실거에요.,1,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgzXqzLJW1LKnFAzred4AaABAg,,@yami.nyo1,저는 엔지니어로 일하다가 개발에 관심이 생겨서 기초잡기로 파이썬을 시작하려는데 마침 조코딩님 채널에 좋은 책이 나와서 제대로 공부해보고 싶습니다,4,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgyZITzPl9i9gJ7lhTl4AaABAg,,@LGC1228,"개발 직종으로 미래를 그려볼까 하는 한 청년입니다. 적성에 잘 맞으면 좋겠지만, 적성에 잘 맞지 않더라도 결국 프로그래밍 영역은 배워두면 꼭 쓸모가 있을만한 분야라고 생각되어 공부를 열심히 해보려고 합니다! 이렇게 양질의 강의를 무료로 제공해주시어 감사드립니다. 앞으로도 양질의 콘텐츠 기대하겠습니다! 감사합니다!!",0,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgyHPKBO9BRAJ4GO9Ll4AaABAg,,@juhwangdy,"요즘 AI에 관심이 있고 회사에서도 파이썬 많이 쓰라고 강요 하고 있는데, 덕분에 강의 와 이 책으로 어느 정도 혼자 마스터 했어요 Class 와 객체 등 기본적인 건 땄는데. 하지만 뒷부분 내용은 마스터 하지 못해서 더 공부하고 싶어요.",1,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgxOoGjrB0_arZ_J00t4AaABAg,,@우시무선,"매번 광범위한 분량에도 불구하고, 깔끔하게 요약본 올려주셔서 너무 감사합니다ㅠㅠ
제가 직무 전환을 고민하고 퇴사한 뒤 개발 쪽 공부를 하려하는 과정에서 많이 막막했는데 조코딩님께서 틈틈히 라이브 방송도 해주시고, 다양한 자료도 올려주셔서 많이 도움받고 있습니다 
이번에도 올려주신 강의 열심히 들으면서 진도 따라가 보겠습니다. 감사하빈다!!",1,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,Ugxgsg0RWFEbRZ1bVTN4AaABAg,,@jjdjimv,"그동안 파이썬에 관심을 가지고 있었는데, 이제 AI가 발전하면서 파이썬의 입문장벽이 낮아지고, 파이썬을 공부해야할 필요성이 확 느껴지네요. 제대로 각잡고 공부해보고 싶다는 의욕이 뿜뿜 솟아오릅니다!",1,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgyOQWWunh9xfUz7IQB4AaABAg,,@Jenn-bq9cs,"직장인으로서 뭔가 전환점이 필요하다는 생각을 했습니다. 조코딩님의 강의 들으면서 성취감 갖고 새로운 분야 공부하고 도전해보고 싶어요!
코딩으로 업무능력 향상, 내가 원하는 툴 제작 등 해보고 싶습니다!",1,1년 전(수정됨),2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,Ugy1X5sMROVpZ405Dfx4AaABAg,,@원두막-y2e,"회사 프로그램으로 재고관리가 힘들어서 직접 만들어보고 싶습니다. 더 나아가선 매출, 매입의 전체적인 집계도 알수있는 프로그램 제작입니다 어려울지라도 조코딩님 영상이라면 가능합니다. 무료강의 감사드립니다.",1,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgwQLhyfrzI6D1EU1EZ4AaABAg,,@druwatv,늦은 나이에 전산업무를 시작하는 늦깍이 전산쟁이입니다. 25년직장생활중 새롭게 시작한 전산업무~ 직장에서 살아남기 위해 전문적인 공부가 필요하다 생각되어 무엇이 필요한가 싶어 여기까지 오게 된거 같습니다. 처음에는  네트워크 구조에 대해서 공부하다가 여기까지 오게 되었는데요 파이썬을 공부하면 업무와 비교하여 무엇에 도움이 될수 있을까라는 고민도 하게 되었고 그 답을 조코딩님 채널에서 찾은듯 하네요~봉사문고리 잡은격이라고 할까요? 눈을 뜨게 해준 조코딩님께 감사한 마음이 듭니다. 부끕럽지만 이벤트도 조심스럽게 참여해봅니다. 감사합니다.,0,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgzQkfsLdtQoB78qpe14AaABAg,,@wist000,고등학교때부터 막연하게 프로그래밍 언어를 공부해야지 라는 생각으로 여러번 시도하였지만 작심3일을 넘기지 못하였습니다. 이번에  휴직을 하게되어 마음잡고 이산을 넘어보려고 합니다. 이번에는 꼭꼭 끝까지 공부해 보겠습니다. 좋은 컨텐츠 만들어 주셔서 감사합니다!!!,0,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgxvQSKkSOi49PbYLNx4AaABAg,,@HYAR0505,"40대 후반의 나이에 AI 공부와 함께 프로그래밍이 개념 공부가 꼭 필요 한거 같아 한번 도전 중입니다. 
조코딩님 채널로 부터 AI 관련 소식도 많이 듣고 있고, 작년도 파이썬 강의가 있는 것을 보고 두달 전에 23년도 판으로 구매해서 예전 영상을 보면서 공부 하고 있었는데, 의욕 만큼 진도를 못 내고 있었네요. 
2024 통합본 소식과 함께 강의를 정 주행 해서  파이썬 기초를 꼭 마스터 해보겠습니다.",0,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgwyjDJz3sdQDIcpJDd4AaABAg,,@Qoo00,프로그래밍 공부를 시작해보려고 합니다. 많은분들이 초보에겐 파이썬부터 공부해보란 말을 들어서 시작해보려고 유튜브로 찾아보다 이 영상을 보게 되었어요. 영상 시청하면서 노력해보겠습니다.,1,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,Ugz_R28WCbj8QjTq4td4AaABAg,,@chanhood,2년을 거쳐 원격으로 코딩수업을 받아왔던 고3입니다 올해 4월달에 입시준비로 그만두었으니 벌써 3개월이 다되었네요 저는 당시 파이썬 자격증을 준비하고있었습니다  자격증과정수업을 듣고있었지만 입시준비로 인해 자격증 수업을 마저 듣지못해 반푼어치 실력으로 코딩은 끝났었는데요 그나마 남아 있던 지식이 마지막으로 가르쳐주신 선생님의 수업자료입니다.이선생님은 이전에 거쳐왔던 선생님과는 조금 다른신 분이셨습니다 주로 이론 중심이셨던 다른 선생님과 달리 주로 실무 중심이셨죠 그런 선생님의 방식이 좋아서 열심히 배웠습니다. (다만 제가 이론이 부족했어서 조금 수업을 따라가는 진도가 조금 늦었습니다)이런 선생님과 수업이 끝나고 마지막 약속을 걸었었습니다 꼭 언젠가 파이썬 자격증을 따서 선생님께 보여드리겠다는 약속이었습니다. 제계획은 수능이 끝나고 12월달을 거쳐 내년 1~2월달에 시행하는 자격증 시험을 보는것입니다.그리고 원래 준비했었던 자격증 급수보다 한등급 더 높혀 선생님이 가르치신 보람이 있게 해드리고 싶습니다.,14,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,A5XlX-XEIcvA83_HedrzHY,Ugz_R28WCbj8QjTq4td4AaABAg,@Cryptolover-o6e,착하다,2,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgzKb9O5c8u2XF5E-zV4AaABAg,,@단디-o2u,"저번달부터 시작하였으나 갑자기 정처기 시험이 나와버려서 노베이스로 준비하게 되어버려 중단을 하게 되었습니다. 내일 필기 시험이 끝나면 다시 시작하려고 합니다.
어차피 해야한다는 것 이전에 목표로 하던 개발자가 되기 위해서 다니던 측량회사도 때려치고 계약직으로 다른 회사로 가서 퇴근이 있는 삶도 얻었습니다. 꼭 하고 싶습니다. 정보처리기사도 따고 빅데이터도 따서 좀 더 높은 경지를 보고 싶습니다.",0,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgyYVfkwNXOvJLl3Sdl4AaABAg,,@T1.forever,현재 다른 직무로 8년간 일하고 있는 중인데 데이터 쪽으로 일하고자 공부하고 있어요 (대학교도 입학신청했는데 합격했으면 좋겠네요 ㅠ)우선 파이썬 먼저 공부하려는데 이렇게 좋은 강의가 무료로 있다니  너무 좋네요 현재 함수부터 뭔가 어려운데  여러번 돌려봐서 기초부터 꼭 탄탄하게 다져야겠어요 모두 다같이 열심히 파이팅 넘치게 공부합시다,0,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgxWvBDuqRpzYLpPvU94AaABAg,,@CodingJoJo,"이것만 나오네요 진짜 미치겠네요 몇시간째 붙들고 있는데 밤다샜어요
>>> print(""="" * 50)
==================================================",0,1개월 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,Ugwg8FDmFKNIsNqdI-N4AaABAg,,@Psychic-01tube,와 형..저 담주에 파이썬 프로젝트하러 해외 가는데 대부분 까먹었거든요..근데 이참에 이런 영상을!!!진짜 감사합니다.벼락치기 잘 할게요!,3,1년 전(수정됨),2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgwoQ5wIQmXA7xf9_0V4AaABAg,,@kissman0120,"50대 비전공자 출신인 저에게도 익숙치 않은 용어와 개념을 설명 해줄 때 비유와 설명이  너무 찰떡이라, 정말 조코딩님의 강의는 명강의라 밖에 할 수 없습니다. 고맙고 응원 합니다.",0,8개월 전,2025-11-20 13:13:20
